pertubation,secondary_extinction
0.301325,0.106195
0.301325,0.0353982
0.301325,0.0707965
0.301325,0.0884956
0.301325,0.0973451
0.301325,0.0884956
0.301325,0.0707965
0.301325,0.079646
0.301325,0.106195
0.301325,0.0619469
0.301325,0.0265487
0.301325,0.132743
0.301325,0.0442478
0.301325,0.176991
0.301325,0.106195
0.301325,0.106195
0.301325,0.0530973
0.301325,0.0530973
0.301325,0.0973451
0.301325,0.132743
0.301325,0.0707965
0.301325,0.079646
0.301325,0.106195
0.301325,0.079646
0.301325,0.115044
0.301325,0.0973451
0.301325,0.0265487
0.301325,0.0707965
0.301325,0.0530973
0.301325,0.115044
0.301325,0.106195
0.301325,0.0353982
0.301325,0.123894
0.301325,0.0265487
0.301325,0.0353982
0.301325,0.0884956
0.301325,0.0442478
0.301325,0.0176991
0.301325,0.0530973
0.301325,0.0442478
0.301325,0.168142
0.301325,0.079646
0.301325,0.0265487
0.301325,0.0530973
0.301325,0.0530973
0.301325,0.0884956
0.301325,0.106195
0.301325,0.0353982
0.301325,0.0619469
0.301325,0.0884956
0.301325,0.123894
0.301325,0.123894
0.301325,0.123894
0.301325,0.106195
0.301325,0.0442478
0.301325,0.0707965
0.301325,0.0530973
0.301325,0.0530973
0.301325,0.0353982
0.301325,0.079646
0.301325,0.079646
0.301325,0.0530973
0.301325,0.079646
0.301325,0.106195
0.301325,0.0176991
0.301325,0.115044
0.301325,0.0707965
0.301325,0.0707965
0.301325,0.0884956
0.301325,0.0707965
0.301325,0.0884956
0.301325,0.0973451
0.301325,0.0619469
0.301325,0.0884956
0.301325,0.106195
0.301325,0.115044
0.301325,0.0265487
0.301325,0.0265487
0.301325,0.0353982
0.301325,0.0619469
0.301325,0.0442478
0.301325,0.079646
0.301325,0.0707965
0.301325,0.0707965
0.301325,0.0884956
0.301325,0.079646
0.301325,0.0707965
0.301325,0.0442478
0.301325,0.0442478
0.301325,0.0530973
0.301325,0.141593
0.301325,0.0442478
0.301325,0.0442478
0.301325,0.141593
0.301325,0.0707965
0.301325,0.0973451
0.301325,0.0619469
0.301325,0.0353982
0.301325,0.00884956
0.400662,0.115044
0.400662,0.0973451
0.400662,0.0353982
0.400662,0.0707965
0.400662,0.0884956
0.400662,0.123894
0.400662,0.0973451
0.400662,0.0707965
0.400662,0.0884956
0.400662,0.123894
0.400662,0.0707965
0.400662,0.0353982
0.400662,0.123894
0.400662,0.0707965
0.400662,0.185841
0.400662,0.141593
0.400662,0.159292
0.400662,0.0619469
0.400662,0.0442478
0.400662,0.123894
0.400662,0.132743
0.400662,0.0884956
0.400662,0.123894
0.400662,0.115044
0.400662,0.123894
0.400662,0.115044
0.400662,0.106195
0.400662,0.0265487
0.400662,0.106195
0.400662,0.0707965
0.400662,0.132743
0.400662,0.115044
0.400662,0.0353982
0.400662,0.115044
0.400662,0.0265487
0.400662,0.0353982
0.400662,0.079646
0.400662,0.0530973
0.400662,0.0442478
0.400662,0.079646
0.400662,0.0619469
0.400662,0.168142
0.400662,0.0619469
0.400662,0.0265487
0.400662,0.0530973
0.400662,0.0530973
0.400662,0.123894
0.400662,0.106195
0.400662,0.0353982
0.400662,0.132743
0.400662,0.150442
0.400662,0.150442
0.400662,0.141593
0.400662,0.159292
0.400662,0.141593
0.400662,0.0530973
0.400662,0.0973451
0.400662,0.0530973
0.400662,0.0619469
0.400662,0.0353982
0.400662,0.106195
0.400662,0.0707965
0.400662,0.0619469
0.400662,0.0884956
0.400662,0.0973451
0.400662,0.0619469
0.400662,0.150442
0.400662,0.115044
0.400662,0.0884956
0.400662,0.0884956
0.400662,0.0176991
0.400662,0.0884956
0.400662,0.141593
0.400662,0.0707965
0.400662,0.0707965
0.400662,0.0973451
0.400662,0.0884956
0.400662,0.0265487
0.400662,0.0265487
0.400662,0.0265487
0.400662,0.0530973
0.400662,0.0530973
0.400662,0.0442478
0.400662,0.079646
0.400662,0.106195
0.400662,0.0973451
0.400662,0.132743
0.400662,0.106195
0.400662,0.0530973
0.400662,0.0442478
0.400662,0.0619469
0.400662,0.150442
0.400662,0.0442478
0.400662,0.0353982
0.400662,0.115044
0.400662,0.079646
0.400662,0.106195
0.400662,0.115044
0.400662,0.0442478
0.400662,0.0265487
