pertubation,secondary_extinction
0.966887,0.964602
0.968543,0.946903
0.970199,0.946903
0.971854,0.946903
0.97351,0.946903
0.975166,0.946903
0.976821,0.946903
0.978477,0.946903
0.980132,0.964602
0.981788,0.964602
0.983444,0.946903
0.985099,0.946903
0.986755,0.964602
0.988411,0.964602
0.990066,0.946903
0.991722,0.946903
0.993377,0.946903
0.995033,0.946903
0.996689,0.946903
0.998344,0.946903
1.0,0.946903
0.00662252,0.0619469
0.013245,0.0619469
0.0198675,0.0619469
0.0264901,0.0619469
0.0331126,0.0619469
0.0397351,0.0530973
0.0463576,0.0619469
0.0529801,0.0619469
0.0596026,0.0619469
0.0662252,0.0619469
0.0728477,0.0619469
0.0794702,0.0619469
0.0860927,0.0619469
0.0927152,0.0619469
0.0993377,0.0619469
0.10596,0.0619469
0.112583,0.0619469
0.119205,0.0619469
0.125828,0.0619469
0.13245,0.0619469
0.139073,0.0619469
0.145695,0.0619469
0.152318,0.079646
0.15894,0.0619469
0.165563,0.0619469
0.172185,0.0619469
0.177152,0.0619469
0.182119,0.0619469
0.187086,0.0619469
0.192053,0.0619469
0.19702,0.079646
0.201987,0.0530973
0.206954,0.0619469
0.211921,0.0619469
0.216887,0.0619469
0.221854,0.0619469
0.226821,0.0619469
0.231788,0.0619469
0.236755,0.0619469
0.241722,0.0619469
0.246689,0.0619469
0.251656,0.0619469
0.256623,0.0619469
0.261589,0.0619469
0.266556,0.0619469
0.271523,0.0530973
0.27649,0.079646
0.281457,0.0619469
0.286424,0.0707965
0.291391,0.079646
0.296358,0.0707965
0.301325,0.0707965
0.306291,0.0619469
0.311258,0.0707965
0.316225,0.0619469
0.321192,0.0619469
0.326159,0.0619469
0.331126,0.0619469
0.336093,0.0619469
0.34106,0.0619469
0.346026,0.0619469
0.350993,0.176991
0.35596,0.0619469
0.360927,0.079646
0.365894,0.0530973
0.370861,0.0707965
0.375828,0.079646
0.380795,0.0619469
0.385762,0.0884956
0.390728,0.0707965
0.395695,0.0707965
0.400662,0.0707965
0.405629,0.079646
0.410596,0.0884956
0.415563,0.079646
0.42053,0.079646
0.425497,0.0619469
0.430464,0.0619469
0.43543,0.079646
0.440397,0.115044
0.445364,0.0707965
0.450331,0.0884956
0.455298,0.106195
0.460265,0.0884956
0.465232,0.141593
0.470199,0.0707965
0.475166,0.132743
0.480132,0.106195
0.485099,0.079646
0.490066,0.0973451
0.495033,0.0619469
0.5,0.185841
0.504967,0.150442
0.509934,0.150442
0.514901,0.99115
0.519868,0.141593
0.524834,0.955752
0.529801,0.132743
0.534768,1.0
0.539735,0.99115
0.544702,0.938053
0.549669,0.973451
0.554636,0.982301
0.559603,0.99115
0.56457,0.99115
0.569536,0.99115
0.574503,0.982301
0.57947,1.0
0.584437,1.0
0.589404,0.973451
0.594371,0.893805
0.599338,0.964602
0.604305,0.99115
0.609272,0.99115
0.614238,1.0
0.619205,1.0
0.624172,0.884956
0.629139,0.982301
0.634106,0.893805
0.639073,0.973451
0.64404,1.0
0.649007,1.0
0.653974,1.0
0.65894,1.0
0.663907,1.0
0.668874,0.973451
0.673841,1.0
0.678808,0.982301
0.683775,0.911504
0.688742,1.0
0.693709,0.982301
0.698675,1.0
0.703642,1.0
0.708609,0.973451
0.713576,0.982301
0.718543,1.0
0.72351,0.99115
0.728477,0.902655
0.733444,0.99115
0.738411,1.0
0.743377,1.0
0.748344,1.0
0.753311,1.0
0.758278,0.982301
0.761589,1.0
0.764901,1.0
0.768212,1.0
0.771523,1.0
0.774834,0.99115
0.778146,0.982301
0.781457,1.0
0.784768,1.0
0.788079,1.0
0.791391,1.0
0.794702,1.0
0.798013,1.0
0.801325,1.0
0.804636,1.0
0.807947,1.0
0.811258,1.0
0.81457,1.0
0.817881,0.982301
0.821192,1.0
0.824503,0.973451
0.827815,1.0
0.831126,1.0
0.834437,1.0
0.837748,1.0
0.84106,1.0
0.844371,1.0
0.847682,0.99115
0.850993,1.0
0.854305,1.0
0.857616,1.0
0.860927,1.0
0.864238,1.0
0.86755,1.0
0.870861,1.0
0.874172,1.0
0.877483,1.0
0.880795,1.0
0.884106,1.0
0.887417,0.99115
0.889073,0.911504
0.890728,0.99115
0.892384,1.0
0.89404,1.0
0.895695,1.0
0.897351,1.0
0.899007,1.0
0.900662,1.0
0.902318,0.99115
0.903974,0.99115
0.905629,0.99115
0.907285,1.0
0.90894,1.0
0.910596,1.0
0.912252,0.99115
0.913907,1.0
0.915563,1.0
0.917219,1.0
0.918874,1.0
0.92053,0.99115
0.922185,0.964602
0.923841,1.0
0.925497,0.99115
0.927152,1.0
0.928808,1.0
0.930464,0.99115
0.932119,0.964602
0.933775,0.964602
0.93543,1.0
0.937086,1.0
0.938742,0.973451
0.940397,1.0
0.942053,0.99115
0.943709,0.964602
0.945364,0.99115
0.94702,0.99115
0.948675,1.0
0.950331,0.99115
0.951987,1.0
0.953642,0.99115
0.955298,0.964602
0.956954,0.964602
0.958609,1.0
0.960265,0.99115
0.961921,0.99115
0.963576,0.99115
0.965232,1.0
0.966887,0.973451
0.968543,0.964602
0.970199,0.99115
0.971854,1.0
0.97351,1.0
0.975166,1.0
0.976821,0.964602
0.978477,0.964602
0.980132,0.964602
0.981788,0.964602
0.983444,1.0
0.985099,1.0
0.986755,1.0
0.988411,0.964602
0.990066,1.0
0.991722,0.964602
0.993377,0.964602
0.995033,0.964602
0.996689,0.964602
0.998344,0.964602
1.0,0.964602
0.00662252,0.079646
0.013245,0.079646
0.0198675,0.079646
0.0264901,0.079646
0.0331126,0.079646
0.0397351,0.079646
0.0463576,0.079646
0.0529801,0.079646
0.0596026,0.079646
0.0662252,0.079646
0.0728477,0.079646
0.0794702,0.079646
0.0860927,0.079646
0.0927152,0.079646
0.0993377,0.079646
0.10596,0.079646
0.112583,0.079646
0.119205,0.079646
0.125828,0.079646
0.13245,0.079646
0.139073,0.0884956
0.145695,0.079646
0.152318,0.079646
0.15894,0.079646
0.165563,0.079646
0.172185,0.079646
0.177152,0.079646
0.182119,0.079646
0.187086,0.079646
0.192053,0.079646
0.19702,0.079646
0.201987,0.079646
0.206954,0.079646
0.211921,0.079646
0.216887,0.079646
0.221854,0.0884956
0.226821,0.079646
0.231788,0.079646
0.236755,0.079646
0.241722,0.079646
0.246689,0.079646
0.251656,0.0884956
0.256623,0.079646
0.261589,0.079646
0.266556,0.079646
0.271523,0.079646
0.27649,0.079646
0.281457,0.079646
0.286424,0.079646
0.291391,0.079646
0.296358,0.079646
0.301325,0.0884956
0.306291,0.079646
0.311258,0.079646
0.316225,0.079646
0.321192,0.079646
0.326159,0.0884956
0.331126,0.079646
0.336093,0.079646
0.34106,0.079646
0.346026,0.0973451
0.350993,0.0884956
0.35596,0.079646
0.360927,0.079646
0.365894,0.079646
0.370861,0.0884956
0.375828,0.079646
0.380795,0.079646
0.385762,0.0884956
0.390728,0.0884956
0.395695,0.115044
0.400662,0.0884956
0.405629,0.079646
0.410596,0.0884956
0.415563,0.0884956
0.42053,0.0884956
0.425497,0.079646
0.430464,0.079646
0.43543,0.0973451
0.440397,0.079646
0.445364,0.106195
0.450331,0.132743
